"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slc6a11",9.00903298900749e-92,1.54731001271104,0.925,0.637,2.90856630050107e-87,"0","Slc6a11"
"Slc17a7",4.66637447105166e-85,-1.71890126826659,0.769,0.921,1.50653899797903e-80,"0","Slc17a7"
"Agt",4.59778285366565e-72,1.29743098327284,0.95,0.708,1.48439419430595e-67,"0","Agt"
"Adcy1",3.17783684757343e-64,-1.85034798139618,0.719,0.888,1.02596462623908e-59,"0","Adcy1"
"Sparc",1.86009524135354e-63,0.767831676231797,0.997,0.985,6.0053174867099e-59,"0","Sparc"
"Resp18",3.20717697351386e-63,1.31385077002213,0.932,0.723,1.03543708589895e-58,"0","Resp18"
"6330403K07Rik",6.5336691994129e-62,1.18069317680034,0.935,0.73,2.10939510103045e-57,"0","6330403K07Rik"
"Mbp",3.50627697965932e-59,0.508877164329669,1,1,1.13200152288301e-54,"0","Mbp"
"Mobp",6.34147769504858e-58,0.562359780923785,1,0.946,2.04734607384643e-53,"0","Mobp"
"Igsf1",4.28534457435321e-54,2.24838348545677,0.455,0.144,1.38352349582993e-49,"0","Igsf1"
"Dgkz",2.83389217590438e-52,-1.4724564521666,0.754,0.879,9.1492208899073e-48,"0","Dgkz"
"Baiap3",4.75547748634899e-52,2.53528716410537,0.382,0.109,1.53530590646777e-47,"0","Baiap3"
"Zcchc12",4.76743344237218e-52,1.73864403734782,0.646,0.325,1.53916588686986e-47,"0","Zcchc12"
"Qdpr",9.07797151693059e-51,0.600264968733739,0.995,0.942,2.93082310424104e-46,"0","Qdpr"
"Zbtb18",6.91046818514664e-49,-1.60743372310024,0.651,0.829,2.23104465357459e-44,"0","Zbtb18"
"Plekhb1",7.96321943312652e-48,0.539771399070326,0.997,0.956,2.5709253939849e-43,"0","Plekhb1"
"Mal",1.74864484266602e-45,0.478783227713657,0.982,0.796,5.64549987454726e-41,"0","Mal"
"Cnp",2.85467156490427e-45,0.419875986388936,0.997,0.944,9.21630714729343e-41,"0","Cnp"
"Nrsn2",4.03832395803247e-45,1.02988067359213,0.859,0.683,1.30377288985078e-40,"0","Nrsn2"
"AW551984",5.14777510728915e-45,2.51140742964665,0.334,0.095,1.6619591933883e-40,"0","AW551984"
"Rpl23",2.66977152235532e-44,0.350594112820577,1,0.999,8.61935735992415e-40,"0","Rpl23"
"Tcf7l2",4.97093627336003e-44,1.59354850047494,0.55,0.245,1.60486677585429e-39,"0","Tcf7l2"
"Sptbn2",8.15146017876509e-44,-1.2058951221794,0.837,0.883,2.63169891871431e-39,"0","Sptbn2"
"Olfm1",1.36364588763329e-43,-1.07722237869876,0.972,0.98,4.40253074822408e-39,"0","Olfm1"
"Bc1",6.57480104490111e-43,0.66479480790397,1,1,2.12267451734632e-38,"0","Bc1"
"Scd2",1.62802158497108e-42,0.348764343963204,1,1,5.25606768707915e-38,"0","Scd2"
"Rpl36",7.06314573807161e-42,0.340566153808425,1,1,2.28033660153642e-37,"0","Rpl36"
"Cldn11",1.59684600251537e-41,0.516727239486486,0.967,0.729,5.15541731912086e-37,"0","Cldn11"
"Bcas1",2.68716175832968e-41,0.601196614115754,0.957,0.736,8.67550173676738e-37,"0","Bcas1"
"Tmem91",7.76228646337659e-41,1.74180823573149,0.48,0.2,2.50605418470113e-36,"0","Tmem91"
"Tuba1b",1.55428728689027e-40,0.426435423297916,1,1,5.01801650572523e-36,"0","Tuba1b"
"Itpka",1.44824266967708e-39,-2.06712105774249,0.291,0.589,4.67565145905245e-35,"0","Itpka"
"Rpl35a",2.97209510731508e-39,0.313434527027863,1,0.999,9.59540905396673e-35,"0","Rpl35a"
"Nap1l5",9.46923057109933e-39,0.758101739336877,0.975,0.969,3.05714108987942e-34,"0","Nap1l5"
"Prr18",1.6970007977992e-38,0.752915791031912,0.774,0.419,5.47876707569473e-34,"0","Prr18"
"Bsn",1.7649260511346e-38,-1.21164778567308,0.603,0.774,5.69806375608804e-34,"0","Bsn"
"Wdr6",2.41645628339591e-38,1.03807782541911,0.829,0.659,7.8015291109437e-34,"0","Wdr6"
"Syt7",5.73899336679608e-38,-1.05822131213927,0.678,0.832,1.85283400847011e-33,"0","Syt7"
"Rpl38",9.99522280458409e-38,0.279587852498303,1,1,3.22695768245997e-33,"0","Rpl38"
"Htr2c",2.32108927975661e-37,1.61354224959761,0.495,0.219,7.49363673969423e-33,"0","Htr2c"
"Rps12",2.48703160476512e-37,0.36934857154604,1,0.997,8.02938153598418e-33,"0","Rps12"
"Mical2",3.89002264893978e-37,-1.60305082857892,0.327,0.64,1.25589381221021e-32,"0","Mical2"
"Nnat",4.10832920524219e-37,0.509859866710075,0.94,0.75,1.32637408391244e-32,"0","Nnat"
"Pcsk1n",4.1083762405592e-37,0.416685723314703,1,0.998,1.32638926926454e-32,"0","Pcsk1n"
"Sparcl1",1.20127618657197e-36,0.409148486779396,1,0.997,3.87832016834761e-32,"0","Sparcl1"
"Rpsa",1.26628220874829e-36,0.321291120389125,1,0.998,4.08819211094385e-32,"0","Rpsa"
"Mog",1.95050794672822e-36,0.260621462648712,0.937,0.648,6.29721490601204e-32,"0","Mog"
"Rnd2",3.84251341259305e-36,0.733407532968413,0.91,0.792,1.24055545525567e-31,"0","Rnd2"
"Scd1",6.47587032100809e-36,0.709694147646573,0.937,0.802,2.09073473313746e-31,"0","Scd1"
"Cbln2",6.94007810653174e-36,2.34190171883385,0.369,0.138,2.24060421669377e-31,"0","Cbln2"
"Rpl26",9.26338343436984e-36,0.306043352882478,1,0.999,2.9906833417863e-31,"0","Rpl26"
"Olig1",1.47778770283894e-35,0.640124061863823,0.96,0.811,4.77103759861552e-31,"0","Olig1"
"Rps27a",1.51467654533504e-35,0.278931740164088,1,1,4.89013322661418e-31,"0","Rps27a"
"Mir124a-1hg",3.0935823478474e-35,-1.62794397761448,0.482,0.716,9.98763061002534e-31,"0","Mir124a-1hg"
"Psd3",3.45792456824589e-35,-1.00447767959301,0.661,0.817,1.11639094685819e-30,"0","Psd3"
"Rps24",3.77185634709833e-35,0.295231939760966,1,0.999,1.2177438216607e-30,"0","Rps24"
"Rps8",4.98128897148055e-35,0.299079750030605,1,1,1.6082091444425e-30,"0","Rps8"
"Rnf112",1.25235659528394e-34,-1.59931324332123,0.673,0.8,4.0432332678742e-30,"0","Rnf112"
"Rpl17",1.35485703947619e-34,0.336125918093453,1,0.997,4.37415595194888e-30,"0","Rpl17"
"Serpine2",2.18326605545321e-34,0.672639025328895,0.95,0.875,7.04867446003068e-30,"0","Serpine2"
"Hopx",7.27003813957211e-34,-1.22260672011777,0.643,0.846,2.34713181336086e-29,"0","Hopx"
"Baiap2",8.26884512940123e-34,-1.33952615091811,0.46,0.69,2.66959665002719e-29,"0","Baiap2"
"Ptgds",1.25036394052207e-33,-0.383687171721987,1,1,4.03679998197549e-29,"0","Ptgds"
"Rpl32",2.31636379849994e-33,0.308821028731643,1,0.999,7.47838052345707e-29,"0","Rpl32"
"Timp2",2.59080920920921e-33,0.690799897640452,0.912,0.735,8.36442753193194e-29,"0","Timp2"
"Neurod2",4.79011249948273e-33,-1.64816041796618,0.244,0.573,1.546487820458e-28,"0","Neurod2"
"Prkcg",6.34508231675944e-33,-1.52608734963839,0.598,0.739,2.04850982596578e-28,"0","Prkcg"
"Rpl8",7.63333602466399e-33,0.319569770317004,1,0.998,2.46442253556277e-28,"0","Rpl8"
"Rps21",1.3187135260962e-32,0.296195204796251,1,1,4.25746661900158e-28,"0","Rps21"
"Tmsb10",2.53180821596118e-32,0.472395699961322,0.992,0.978,8.17394282523065e-28,"0","Tmsb10"
"Hap1",3.99191581392118e-32,1.06751962341223,0.734,0.529,1.28879002052445e-27,"0","Hap1"
"Calm1",6.06325919114078e-32,-0.337965878203707,1,1,1.9575232298598e-27,"0","Calm1"
"Kcnmb4",6.4000560887984e-32,-1.49961768562404,0.337,0.615,2.06625810826856e-27,"0","Kcnmb4"
"Nptx1",1.33891407994758e-31,-1.46622595468211,0.606,0.754,4.32268410711076e-27,"0","Nptx1"
"Rps11",6.19617362829013e-31,0.309531564483575,1,0.999,2.00043465589347e-26,"0","Rps11"
"Cryab",1.33405656817826e-30,0.271125846602224,0.965,0.914,4.3070016303635e-26,"0","Cryab"
"Ndn",1.38833431202015e-30,0.684335405774617,0.96,0.913,4.48223732635705e-26,"0","Ndn"
"Enpp2",1.62296636051457e-30,1.5797773541197,0.942,0.843,5.23974689492128e-26,"0","Enpp2"
"Zwint",2.43103235421065e-30,0.520847286956496,0.992,0.975,7.84858795556907e-26,"0","Zwint"
"Rpl13a",3.51751498379354e-30,0.270315917701152,1,1,1.13562971251775e-25,"0","Rpl13a"
"Opalin",4.63411066972939e-30,0.759129667474059,0.698,0.426,1.49612262972213e-25,"0","Opalin"
"Scg2",7.42934613081902e-30,1.06674191719597,0.864,0.746,2.39856439833492e-25,"0","Scg2"
"Tmem130",7.93584910863784e-30,1.026501722861,0.774,0.646,2.56208888472373e-25,"0","Tmem130"
"Fbxl16",1.3365551804923e-29,-1.00140450394105,0.854,0.883,4.31506840021938e-25,"0","Fbxl16"
"Ndrg2",1.64552935347281e-29,0.403509728261565,1,0.99,5.31259151768696e-25,"0","Ndrg2"
"Csrp1",2.52352807611148e-29,0.423080971964577,0.985,0.926,8.14721039372592e-25,"0","Csrp1"
"Lhx9",3.9233445527057e-29,2.26759186122233,0.264,0.084,1.26665178884103e-24,"0","Lhx9"
"Rpl11",6.32895770227917e-29,0.269608178837426,1,1,2.04330399418083e-24,"0","Rpl11"
"Zfhx4",7.15932259183531e-29,1.88064755383509,0.279,0.09,2.31138729877403e-24,"0","Zfhx4"
"Atp1a1",1.46141019328853e-28,-1.20980464170263,0.917,0.949,4.71816280903203e-24,"0","Atp1a1"
"Calm2",1.88158563618561e-28,-0.432887221411293,1,0.999,6.07469922642526e-24,"0","Calm2"
"Gprasp1",3.32148739763603e-28,0.650780851537928,0.94,0.87,1.07234220632679e-23,"0","Gprasp1"
"Frrs1l",3.70416948527217e-28,-0.944631701292,0.626,0.791,1.19589111832012e-23,"0","Frrs1l"
"Grin2a",5.10996114404436e-28,-1.36506096357308,0.347,0.61,1.64975095535472e-23,"0","Grin2a"
"Tspan2",5.20705181710719e-28,0.520658603231359,0.899,0.703,1.68109667915306e-23,"0","Tspan2"
"Cnksr2",1.08332006438206e-27,-1.68614767547257,0.219,0.502,3.49749882785747e-23,"0","Cnksr2"
"Rps15a",1.24721747294699e-27,0.306110582006948,1,0.999,4.02664161140935e-23,"0","Rps15a"
"Zfhx3",1.42186263940248e-27,1.5089139843761,0.364,0.145,4.59048353131092e-23,"0","Zfhx3"
"Gaa",1.62933606694715e-27,0.609423079683676,0.945,0.889,5.26031149213889e-23,"0","Gaa"
"Rps6",2.08070204083915e-27,0.33680226959006,0.997,0.988,6.7175465388492e-23,"0","Rps6"
"Rps19",3.11474281618733e-27,0.317979997342516,1,0.994,1.00559471820608e-22,"0","Rps19"
"Rpl24",3.58638735353265e-27,0.287376273172383,1,1,1.15786515708802e-22,"0","Rpl24"
"Sptan1",1.34338146111873e-26,-0.554238044757887,0.95,0.962,4.33710704722181e-22,"0","Sptan1"
"Rpl37a",1.64172529591626e-26,0.286535352435148,1,0.998,5.30031011786563e-22,"0","Rpl37a"
"Gabrd",1.91759348177656e-26,-1.75837953360302,0.374,0.612,6.19095055591563e-22,"0","Gabrd"
"Rps27",3.17687219310288e-26,0.330182696675863,1,0.995,1.02565318754327e-21,"0","Rps27"
"Dzank1",4.48532537114839e-26,0.733013673129233,0.852,0.741,1.44808729607526e-21,"0","Dzank1"
"Camkk2",4.83537231298594e-26,-1.40491596836606,0.41,0.651,1.56109995124751e-21,"0","Camkk2"
"Rps20",1.12954759793417e-25,0.269525070634622,1,0.998,3.64674441993047e-21,"0","Rps20"
"Tmem178",1.31800772095129e-25,-1.43396987326937,0.302,0.567,4.25518792709125e-21,"0","Tmem178"
"Pgbd5",1.4503499288974e-25,-1.00963833911041,0.555,0.731,4.68245474544527e-21,"0","Pgbd5"
"Sv2b",1.82855178922229e-25,-1.08222101426667,0.548,0.72,5.90347945150416e-21,"0","Sv2b"
"Fam131a",1.94146158573091e-25,-1.29750244329261,0.508,0.673,6.26800872953224e-21,"0","Fam131a"
"Bhlhe22",1.95487803563947e-25,-1.65268455621428,0.168,0.45,6.31132373806202e-21,"0","Bhlhe22"
"Rps3a1",2.38388876920816e-25,0.272742637182713,1,0.997,7.69638489138855e-21,"0","Rps3a1"
"Rps10",2.61920431701368e-25,0.262879779490485,1,0.999,8.45610113747867e-21,"0","Rps10"
"Mef2c",3.58834710084607e-25,-1.77373980941415,0.314,0.558,1.15849786150815e-20,"0","Mef2c"
"Gpx3",3.82614171474794e-25,1.58710462799768,0.334,0.136,1.23526985260637e-20,"0","Gpx3"
"Foxg1",6.56033814726377e-25,-1.98389974874519,0.126,0.385,2.11800517084411e-20,"0","Foxg1"
"Phlda3",8.6655981611434e-25,0.711567387264284,0.729,0.483,2.79768836632514e-20,"0","Phlda3"
"Neurl1a",9.37620822422316e-25,-1.11988105768848,0.56,0.713,3.02710882519045e-20,"0","Neurl1a"
"Atp2b1",9.37792108507095e-25,-0.955948116630927,0.746,0.83,3.02766182231516e-20,"0","Atp2b1"
"Ppp1r14a",9.74878853160324e-25,0.267703927781187,0.842,0.571,3.14739637742811e-20,"0","Ppp1r14a"
"Rps26",1.01319335012095e-24,0.306710733033866,1,0.997,3.27109473086549e-20,"0","Rps26"
"Slc17a6",1.25962908510241e-24,0.927589990988075,0.616,0.366,4.06671250125313e-20,"0","Slc17a6"
"Tac1",1.94795327051351e-24,2.79777643886412,0.349,0.165,6.28896713385287e-20,"0","Tac1"
"Gpm6a",1.98586561652783e-24,-0.5221533636621,0.972,0.977,6.41136714296011e-20,"0","Gpm6a"
"Nxph4",2.33122111726202e-24,1.7066576362725,0.261,0.088,7.52634737708043e-20,"0","Nxph4"
"Rps9",3.53608676914182e-24,0.298975249929526,1,0.995,1.14162561341744e-19,"0","Rps9"
"Sept3",3.8928274492036e-24,-0.693955578409908,0.791,0.876,1.25679934197538e-19,"0","Sept3"
"Rpl34",4.04256105236306e-24,0.253979765628423,1,0.998,1.30514083575541e-19,"0","Rpl34"
"Pllp",4.41003071771457e-24,0.387333140222793,0.857,0.646,1.42377841721415e-19,"0","Pllp"
"Gatm",5.11964697837953e-24,0.287719543301373,0.897,0.71,1.65287802696983e-19,"0","Gatm"
"Dlgap1",6.14241077172406e-24,-0.820511349405505,0.691,0.8,1.98307731765111e-19,"0","Dlgap1"
"Cd81",8.04043245714585e-24,0.313367412522826,1,0.996,2.59585361878954e-19,"0","Cd81"
"Rps4x",9.07772697147882e-24,0.294478168409171,0.997,0.995,2.93074415274194e-19,"0","Rps4x"
"Apoe",1.48925408657404e-23,0.252595879300321,1,1,4.80805681850428e-19,"0","Apoe"
"Prkcb",2.03973180252403e-23,-0.803443949010365,0.784,0.879,6.58527412444882e-19,"0","Prkcb"
"Syndig1l",3.43130426536986e-23,1.59620563985057,0.271,0.098,1.10779658207466e-18,"0","Syndig1l"
"Rpl14",3.76234678344556e-23,0.271525010941324,1,0.996,1.2146736590354e-18,"0","Rpl14"
"Rpl37",3.93372437437113e-23,0.267901202121261,1,1,1.27000291426572e-18,"0","Rpl37"
"Ski",6.51473198440846e-23,-0.969578222821364,0.523,0.74,2.10328122116627e-18,"0","Ski"
"Rpl39",8.84221957916504e-23,0.288724153402256,1,0.997,2.85471059113343e-18,"0","Rpl39"
"Tmem88b",1.07870609388053e-22,0.424489836553212,0.759,0.501,3.48260262409329e-18,"0","Tmem88b"
"St8sia5",1.81264414708001e-22,-1.31884368126796,0.344,0.603,5.85212162884782e-18,"0","St8sia5"
"R3hdm1",2.32834356952336e-22,-1.13270066980887,0.467,0.66,7.51705721420616e-18,"0","R3hdm1"
"Tiam1",2.66079671664991e-22,-1.25284780587323,0.337,0.586,8.59038219970423e-18,"0","Tiam1"
"Nptxr",2.81468157238276e-22,-1.26166903604534,0.711,0.791,9.08719945643774e-18,"0","Nptxr"
"Kcnh3",2.94154086123472e-22,-2.02205400910838,0.121,0.362,9.49676467049629e-18,"0","Kcnh3"
"Tcf4",3.62741185491825e-22,-0.61148955231823,0.724,0.854,1.17110991736036e-17,"0","Tcf4"
"Gap43",4.05372646746689e-22,0.620017250940314,0.907,0.815,1.30874559002169e-17,"0","Gap43"
"Ntsr2",6.91650322785682e-22,0.518999958335762,0.957,0.883,2.23299306711357e-17,"0","Ntsr2"
"Ppp3ca",7.17092415082216e-22,-0.596747236216419,0.96,0.964,2.31513286209293e-17,"0","Ppp3ca"
"Fads2",1.10152301941212e-21,0.648842110623582,0.869,0.762,3.55626706817204e-17,"0","Fads2"
"Gria2",1.33125683116289e-21,-0.818585853686813,0.741,0.824,4.2979626794094e-17,"0","Gria2"
"Gprasp2",1.59295127488958e-21,0.849114845853651,0.731,0.62,5.14284319098102e-17,"0","Gprasp2"
"Prdm8",1.62718479819411e-21,-1.79126831232441,0.093,0.335,5.25336612096969e-17,"0","Prdm8"
"Pnmal2",1.9488808914179e-21,0.541753377143163,0.912,0.873,6.29196195794269e-17,"0","Pnmal2"
"Rbfox3",2.2032389507706e-21,-0.873534696863291,0.633,0.811,7.11315695256287e-17,"0","Rbfox3"
"Chrd",2.77597518852784e-21,-1.76758833334959,0.133,0.378,8.96223589616214e-17,"0","Chrd"
"Rasgef1a",2.86919297029793e-21,-0.997184921957772,0.518,0.688,9.26318950460688e-17,"0","Rasgef1a"
"Nkain4",2.93754305068197e-21,0.80376335377569,0.749,0.609,9.48385773912674e-17,"0","Nkain4"
"Sowaha",3.12608545001808e-21,-1.42860987600897,0.251,0.498,1.00925668753834e-16,"0","Sowaha"
"Shank3",3.42294180187417e-21,-1.05556231767764,0.513,0.69,1.10509676073507e-16,"0","Shank3"
"Fam107a",3.68689446207003e-21,-1.0818029744887,0.764,0.833,1.19031387707931e-16,"0","Fam107a"
"Rps29",4.11553101408952e-21,0.277208580572782,1,0.998,1.3286991878988e-16,"0","Rps29"
"Nfix",4.95341036081417e-21,-0.806900333654362,0.513,0.726,1.59920853498885e-16,"0","Nfix"
"Trim9",5.55490526319621e-21,-0.798989982439132,0.688,0.809,1.7934011642229e-16,"0","Trim9"
"Tmem132a",8.53912322872397e-21,-1.08358902497197,0.766,0.831,2.75685593439353e-16,"0","Tmem132a"
"Rtn4r",8.71967106092542e-21,-1.18194486192904,0.289,0.53,2.81514580201977e-16,"0","Rtn4r"
"Pip5k1c",8.94278970067258e-21,-0.740395202323226,0.678,0.816,2.88717965486214e-16,"0","Pip5k1c"
"Ahi1",9.84125041240634e-21,0.772905138225829,0.786,0.696,3.17724769564539e-16,"0","Ahi1"
"Gas7",1.12542053764369e-20,-0.912897828905597,0.573,0.722,3.63342020578266e-16,"0","Gas7"
"Nkx6-2",1.3634761874865e-20,0.732466956932403,0.568,0.331,4.40198287130015e-16,"0","Nkx6-2"
"Gas5",1.45747679140882e-20,0.331522553103091,0.992,0.994,4.70546382106338e-16,"0","Gas5"
"Grb14",1.55776076711459e-20,0.607094297422757,0.746,0.551,5.02923063662947e-16,"0","Grb14"
"Kalrn",1.58852818408128e-20,-1.39065391428107,0.354,0.551,5.1285632423064e-16,"0","Kalrn"
"Rsrp1",1.68314281987377e-20,-0.629905827474474,0.844,0.906,5.43402659396246e-16,"0","Rsrp1"
"Slc25a18",2.47075504586933e-20,0.680105195374321,0.842,0.712,7.97683266558913e-16,"0","Slc25a18"
"Vat1l",2.69940793897945e-20,1.084275772773,0.563,0.369,8.71503853099514e-16,"0","Vat1l"
"Rasgrp2",6.34435236848903e-20,0.98550829625505,0.573,0.385,2.04827416216668e-15,"0","Rasgrp2"
"Adam11",7.73112902558712e-20,-1.15421856331375,0.56,0.723,2.4959950059108e-15,"0","Adam11"
"Prkce",8.75119033338968e-20,-0.83042176508846,0.623,0.745,2.82532179913486e-15,"0","Prkce"
"Usp29",9.99598794124554e-20,1.20831607276151,0.46,0.267,3.22720470683112e-15,"0","Usp29"
"Ddn",2.07965262427066e-19,-2.25097670066059,0.487,0.595,6.71415849745784e-15,"0","Ddn"
"Scn1b",3.63631076514535e-19,-0.499763975192029,0.982,0.98,1.17398293052718e-14,"0","Scn1b"
"Rgs7bp",3.71878255137279e-19,-0.796679217577557,0.681,0.788,1.20060894671071e-14,"0","Rgs7bp"
"Camta2",4.47194163605411e-19,-0.712786154954243,0.701,0.83,1.44376635720007e-14,"0","Camta2"
"Rpl22l1",5.00267797047819e-19,0.317526430222246,0.995,0.987,1.61511458276888e-14,"0","Rpl22l1"
"Slc1a3",5.06287336391894e-19,-0.928495710663195,0.917,0.922,1.63454866554123e-14,"0","Slc1a3"
"Gfod1",5.21936571835728e-19,-1.07057688199702,0.367,0.59,1.68507222217165e-14,"0","Gfod1"
"Ccnl2",5.39826398096713e-19,-1.12836120157037,0.477,0.678,1.74282952625524e-14,"0","Ccnl2"
"Abat",6.17908451583454e-19,0.447940614049185,0.927,0.877,1.99491743593718e-14,"0","Abat"
"Unc13a",6.87288387531075e-19,-1.01059203354803,0.45,0.645,2.21891055914407e-14,"0","Unc13a"
"Atp2b2",6.95399310064596e-19,-0.694690113663085,0.925,0.922,2.24509667254355e-14,"0","Atp2b2"
"Ajm1",1.24771440870295e-18,-1.08622714223442,0.465,0.674,4.02824596849748e-14,"0","Ajm1"
"Sh3gl2",1.34930229673911e-18,-0.698149832334794,0.874,0.914,4.3562224650222e-14,"0","Sh3gl2"
"Oip5os1",2.51681096666738e-18,-0.611530832197056,0.796,0.907,8.12552420588563e-14,"0","Oip5os1"
"Coro2b",2.56019877212217e-18,-0.749103687558325,0.628,0.794,8.26560173579642e-14,"0","Coro2b"
"Gpx1",2.79607912451634e-18,0.457424208374829,0.915,0.867,9.02714145350101e-14,"0","Gpx1"
"Wipf3",2.87477708170285e-18,-1.60109939794312,0.244,0.461,9.28121780827766e-14,"0","Wipf3"
"Kcnj9",4.07608141069708e-18,-1.02644725967845,0.372,0.589,1.31596288344355e-13,"0","Kcnj9"
"Ppp2r2c",4.19164197428166e-18,-0.473440304688987,0.884,0.929,1.35327161139684e-13,"0","Ppp2r2c"
"Atp2a2",4.80785584032782e-18,-0.559282933119262,0.992,0.988,1.55221625804984e-13,"0","Atp2a2"
"Nptn",5.89462633865631e-18,-0.416884455881463,0.975,0.977,1.90308011343519e-13,"0","Nptn"
"Pdlim2",6.38494331107456e-18,0.478093823059628,0.709,0.479,2.06137894798042e-13,"0","Pdlim2"
"Kcnk1",7.08622678401013e-18,-0.837797742139785,0.628,0.782,2.28778831721767e-13,"0","Kcnk1"
"Nfib",8.14371345046101e-18,-0.788431474495165,0.513,0.708,2.62919788748134e-13,"0","Nfib"
"Slc22a17",9.78137945353188e-18,0.327120986470407,0.99,0.988,3.15791835657277e-13,"0","Slc22a17"
"Neurod1",1.01666192339301e-17,-2.2529506805274,0.279,0.48,3.28229301967434e-13,"0","Neurod1"
"Rpl36a",1.03033981471494e-17,0.283261079516402,0.997,0.983,3.32645209180717e-13,"0","Rpl36a"
"Gpr37",1.09310786653536e-17,0.309207444443524,0.789,0.594,3.52909874710942e-13,"0","Gpr37"
"Hivep2",1.21195186600833e-17,-1.00438986607983,0.389,0.591,3.91278659940788e-13,"0","Hivep2"
"Grin2c",1.33811733728715e-17,-1.83237707208328,0.48,0.652,4.32011182343157e-13,"0","Grin2c"
"Dgkd",1.44017642432859e-17,-1.32082852912404,0.407,0.599,4.64960958594484e-13,"0","Dgkd"
"Tpbg",2.04891920393916e-17,1.43761077989628,0.312,0.148,6.61493564991759e-13,"0","Tpbg"
"Il33",2.07761134018191e-17,0.750401185343254,0.535,0.331,6.7075682117773e-13,"0","Il33"
"Arhgdig",2.29680179156876e-17,0.602714105311147,0.779,0.613,7.41522458407975e-13,"0","Arhgdig"
"Sept11",2.34839648400905e-17,-0.983056149590719,0.349,0.561,7.58179804862323e-13,"0","Sept11"
"Shox2",2.52329020672177e-17,0.88100299462936,0.256,0.1,8.14644243240122e-13,"0","Shox2"
"Cd24a",2.73437407902691e-17,1.50345124443331,0.324,0.162,8.82792671413838e-13,"0","Cd24a"
"Celf1",2.83927474838508e-17,-0.847037112093006,0.535,0.683,9.16659852516123e-13,"0","Celf1"
"Vstm2l",3.23089938391947e-17,0.919410843047801,0.716,0.601,1.0430958660984e-12,"0","Vstm2l"
"Sst",3.35395475798886e-17,1.05833022857077,0.764,0.596,1.0828242936167e-12,"0","Sst"
"Klf13",4.10705818183809e-17,-0.672547945526381,0.588,0.765,1.32596373400643e-12,"0","Klf13"
"2310022B05Rik",4.1575442918187e-17,0.648949896942616,0.809,0.701,1.34226317461367e-12,"0","2310022B05Rik"
"Aak1",4.30955494333755e-17,-0.567887556252293,0.809,0.876,1.39133981345653e-12,"0","Aak1"
"Inka2",4.99535244224721e-17,-1.41465157574724,0.151,0.369,1.61274953597951e-12,"0","Inka2"
"Sox10",5.31776068098803e-17,0.483336349891119,0.616,0.385,1.71683903585699e-12,"0","Sox10"
"Nsg2",5.5244175445486e-17,0.466956735055664,0.932,0.823,1.78355820425752e-12,"0","Nsg2"
"Galnt9",5.8695569240214e-17,-1.05962010437954,0.407,0.59,1.89498645292031e-12,"0","Galnt9"
"Prmt8",6.96723262725309e-17,-1.12025877732491,0.319,0.528,2.24937105370866e-12,"0","Prmt8"
"Gja1",7.27293784473465e-17,0.420968458119334,0.94,0.887,2.34806798317258e-12,"0","Gja1"
"Itih3",8.00353952519914e-17,0.925280384970279,0.555,0.366,2.58394273571054e-12,"0","Itih3"
"Luc7l3",8.54632234618612e-17,-0.845616166563704,0.568,0.747,2.75918016946619e-12,"0","Luc7l3"
"Rtl8a",1.26454058191884e-16,0.364690987973504,0.982,0.956,4.08256926872496e-12,"0","Rtl8a"
"Rasl10a",1.62220727878415e-16,-1.93352665183529,0.095,0.294,5.23729619955463e-12,"0","Rasl10a"
"Adgrg1",2.08426892886459e-16,0.669864136172994,0.729,0.589,6.72906223683934e-12,"0","Adgrg1"
"Jph4",2.20743761275495e-16,-0.759853072934583,0.726,0.802,7.12671233277934e-12,"0","Jph4"
"Zfand5",2.2138752793839e-16,-0.586404799186506,0.807,0.864,7.14749633949092e-12,"0","Zfand5"
"Wnk2",3.42973670459769e-16,-0.813052071366698,0.563,0.714,1.10729049507937e-11,"0","Wnk2"
"Purb",3.66232068297066e-16,-0.410744509552982,0.907,0.943,1.18238023249708e-11,"0","Purb"
"Nell2",4.18857832630491e-16,-0.747835890109233,0.651,0.741,1.35228251264754e-11,"0","Nell2"
"Neurod6",4.71181683024191e-16,-2.20691798055661,0.101,0.29,1.5212100636436e-11,"0","Neurod6"
"Pcbd1",5.03805609133923e-16,1.20995956856752,0.382,0.218,1.62653640908887e-11,"0","Pcbd1"
"Gria3",5.11947971589229e-16,-0.76901068181456,0.518,0.672,1.65282402627583e-11,"0","Gria3"
"Sprn",5.52077696144863e-16,-1.02611861412339,0.339,0.528,1.78238284200369e-11,"0","Sprn"
"Rundc3a",5.53000827546025e-16,-0.506269351648683,0.912,0.936,1.78536317173234e-11,"0","Rundc3a"
"Wasf1",5.602522680502e-16,-0.852717646952688,0.51,0.665,1.80877444740007e-11,"0","Wasf1"
"Snhg11",5.74775831578776e-16,-0.480495119299615,0.98,0.967,1.85566377225208e-11,"0","Snhg11"
"Cadps2",5.84339615557995e-16,-1.26644359144434,0.359,0.548,1.88654044882899e-11,"0","Cadps2"
"Tesc",6.03201547910829e-16,-1.10089167707137,0.44,0.623,1.94743619743011e-11,"0","Tesc"
"Ache",6.17419928615295e-16,0.719319589462668,0.683,0.556,1.99334023953448e-11,"0","Ache"
"Rps25",7.22495671259709e-16,0.258867527573364,1,0.991,2.33257727466197e-11,"0","Rps25"
