"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sema7a.1",7.36737744754176e-05,-0.346146246238239,0.389,0.586,1,"2","Sema7a"
"Tyrobp.1",7.39290428507985e-05,0.683221260706346,0.549,0.559,1,"2","Tyrobp"
"Lurap1.1",7.42413814411147e-05,-0.291195278109699,0.154,0.289,1,"2","Lurap1"
"Ptpn1",7.46514397821073e-05,-0.317318874580569,0.174,0.323,1,"2","Ptpn1"
"Dynlt3",7.53461906181078e-05,-0.310309088577333,0.522,0.733,1,"2","Dynlt3"
"Yars2",7.55982717100288e-05,-0.282532061554869,0.154,0.29,1,"2","Yars2"
"Itgb1bp1.2",7.70014531447834e-05,-0.28412346930035,0.266,0.448,1,"2","Itgb1bp1"
"Neo1",7.700791199362e-05,0.733478866820117,0.509,0.537,1,"2","Neo1"
"Hmgn1.1",7.75602947652429e-05,-0.259583134338839,0.536,0.757,1,"2","Hmgn1"
"Cdh2",7.77254776980509e-05,-0.264746029291132,0.355,0.567,1,"2","Cdh2"
"Asl",7.77535586270045e-05,-0.314068221717328,0.133,0.26,1,"2","Asl"
"Cd47.1",7.78934605251051e-05,-0.304866801422815,0.635,0.836,1,"2","Cd47"
"mt-Atp8.1",7.86050380717311e-05,-0.382812667786021,0.809,0.876,1,"2","mt-Atp8"
"Klhl42.1",7.98814057358951e-05,-0.299336384871977,0.14,0.27,1,"2","Klhl42"
"Chmp5.1",7.99221989131342e-05,0.395058174472218,0.713,0.766,1,"2","Chmp5"
"Snx11",8.07716121227263e-05,-0.26864913242019,0.208,0.367,1,"2","Snx11"
"Nup133",8.12443565958641e-05,-0.252077461991877,0.188,0.342,1,"2","Nup133"
"Trim39.1",8.14410020506428e-05,-0.380392903403032,0.133,0.256,1,"2","Trim39"
"Trim11.1",8.1544905572654e-05,-0.261853092482635,0.143,0.28,1,"2","Trim11"
"Zfp362",8.24855148911185e-05,-0.318678656516016,0.16,0.3,1,"2","Zfp362"
"Hnrnpu.2",8.27333132389358e-05,-0.307089234827787,0.84,0.937,1,"2","Hnrnpu"
"Pou3f3.1",8.32209623757909e-05,0.509007079336135,0.58,0.606,1,"2","Pou3f3"
"Cluap1",8.45393182947833e-05,-0.278347376130503,0.177,0.326,1,"2","Cluap1"
"Tfe3",8.50608120579181e-05,-0.317288818004568,0.184,0.332,1,"2","Tfe3"
"Ddx6",8.53986804309115e-05,-0.283650981023274,0.509,0.733,1,"2","Ddx6"
"Zfp318.1",8.56983805203404e-05,-0.315959678277889,0.167,0.308,1,"2","Zfp318"
"Tjp1",8.81305687681641e-05,0.755560352833326,0.444,0.438,1,"2","Tjp1"
"Rere.2",9.25392248504149e-05,-0.324296516435477,0.509,0.714,1,"2","Rere"
"Plec",9.28962884311843e-05,-0.262789984391057,0.403,0.626,1,"2","Plec"
"Gpr17",9.30649794287756e-05,1.57613333950311,0.28,0.218,1,"2","Gpr17"
"Uggt1.1",9.33543230372165e-05,-0.269675269558516,0.218,0.385,1,"2","Uggt1"
"Ciao1",9.52478056026428e-05,-0.253022785265689,0.304,0.496,1,"2","Ciao1"
"Capn10.1",9.65858649467026e-05,-0.333736357008895,0.208,0.363,1,"2","Capn10"
"Phc2.1",9.66857280282593e-05,0.535396690493418,0.638,0.692,1,"2","Phc2"
"Med28",9.68841005586839e-05,-0.254131074375743,0.669,0.855,1,"2","Med28"
"Yeats2",9.77454898723279e-05,-0.316386931145139,0.13,0.252,1,"2","Yeats2"
"Mgat4a.1",9.80311619752956e-05,-0.294995660969744,0.14,0.268,1,"2","Mgat4a"
"Hat1",9.81687083526693e-05,-0.339264146488533,0.143,0.274,1,"2","Hat1"
"Usp29.1",9.92381611449431e-05,-0.313603054966087,0.171,0.31,1,"2","Usp29"
"Slc25a27.1",0.000100091697254222,1.00083372453664,0.399,0.379,1,"2","Slc25a27"
"Hdlbp",0.000100486525040968,-0.259085726170815,0.488,0.717,1,"2","Hdlbp"
"Lamtor1",0.000100835857847605,0.325184784682872,0.761,0.819,1,"2","Lamtor1"
"Prdx6",0.000101750080262736,0.268634396649623,0.932,0.94,1,"2","Prdx6"
"Lias",0.000102115775564405,-0.250719895170589,0.259,0.437,1,"2","Lias"
"Ppid.1",0.000103204675986468,-0.264131012015256,0.389,0.61,1,"2","Ppid"
"Sipa1l2",0.000103466632689979,-0.343110710670901,0.239,0.403,1,"2","Sipa1l2"
"D5Ertd579e",0.000104194717527918,-0.298469390030343,0.399,0.615,1,"2","D5Ertd579e"
"Dag1",0.000104725495012697,-0.291940735689922,0.416,0.637,1,"2","Dag1"
"Enoph1",0.000105211107458126,0.778585427798066,0.488,0.509,1,"2","Enoph1"
"Unk",0.000105736465459581,-0.344134020770662,0.15,0.286,1,"2","Unk"
"Mkks",0.00010604339233192,-0.254541576210429,0.14,0.27,1,"2","Mkks"
"Ipo7",0.000106240472800821,-0.267022888200301,0.392,0.619,1,"2","Ipo7"
"L3mbtl2.1",0.000107015004616309,-0.276807140200614,0.157,0.293,1,"2","L3mbtl2"
"Smarcd2.2",0.000107751704521225,-0.437452515225643,0.167,0.298,1,"2","Smarcd2"
"Acaa1a",0.000108645676406943,0.449492220060572,0.621,0.669,1,"2","Acaa1a"
"Ctnnbl1",0.000110108825430836,-0.269977478307156,0.157,0.292,1,"2","Ctnnbl1"
"Vps54",0.000110698974518626,-0.316453851373896,0.143,0.273,1,"2","Vps54"
"Gars",0.00011122197868666,-0.265990748766402,0.461,0.692,1,"2","Gars"
"1700025G04Rik.1",0.000111312983999662,-0.343068480019975,0.307,0.487,1,"2","1700025G04Rik"
"Hsd17b10",0.000111622486068889,0.750150407280192,0.498,0.52,1,"2","Hsd17b10"
"Lmbrd1",0.000113262610807246,0.323995552880858,0.775,0.832,1,"2","Lmbrd1"
"Pdxdc1.1",0.000115262370799947,0.651429656219948,0.546,0.587,1,"2","Pdxdc1"
"Rita1",0.000115415894547464,-0.261864340265006,0.133,0.261,1,"2","Rita1"
"Armh4.2",0.000116396059606703,-0.476801718670231,0.283,0.436,1,"2","Armh4"
"Eef2k.1",0.000118312946061197,-0.25018610877441,0.157,0.294,1,"2","Eef2k"
"Safb.1",0.000121221925388263,-0.324211736215474,0.478,0.688,1,"2","Safb"
"C1qbp",0.000122417294293321,-0.287770512534961,0.485,0.715,1,"2","C1qbp"
"Gdpd1",0.000123206847835844,-0.32176271734468,0.235,0.4,1,"2","Gdpd1"
"Glo1.1",0.00012388139741353,0.382721378696963,0.805,0.865,1,"2","Glo1"
"Gramd3",0.000125194507718183,1.21709693158021,0.27,0.209,1,"2","Gramd3"
"Hbp1.1",0.000125834243223841,0.852728710195322,0.399,0.37,1,"2","Hbp1"
"Wbp11",0.000127393795221907,-0.293354832936935,0.416,0.622,1,"2","Wbp11"
"Snd1",0.00012742749989023,-0.26215206113286,0.215,0.376,1,"2","Snd1"
"Exoc1",0.000128596169450834,-0.281115285501168,0.273,0.461,1,"2","Exoc1"
"Upf2.1",0.000129359748107517,-0.261598370244881,0.212,0.371,1,"2","Upf2"
"Acaca",0.000131446975338399,0.89674935578052,0.423,0.419,1,"2","Acaca"
"Paics.1",0.000131620454652755,0.521477463511962,0.662,0.761,1,"2","Paics"
"Hipk1",0.000135815891149061,-0.329161524011885,0.488,0.71,1,"2","Hipk1"
"Pla2g7.1",0.000136157375889038,0.333143630989673,0.874,0.941,1,"2","Pla2g7"
"Mrps16",0.000137229577153005,-0.280754385266954,0.478,0.704,1,"2","Mrps16"
"Bmpr2",0.000137482542913181,-0.258354203296343,0.491,0.709,1,"2","Bmpr2"
"Sf3a3",0.000137688504195176,-0.253769747638462,0.239,0.411,1,"2","Sf3a3"
"Psmd3",0.000138133010676059,-0.254292451497986,0.556,0.769,1,"2","Psmd3"
"Ldlr",0.00013827998184863,1.21320424654293,0.259,0.194,1,"2","Ldlr"
"Mllt3",0.000138493485672227,-0.307998612627167,0.147,0.275,1,"2","Mllt3"
"Hs3st1.1",0.000139924703488738,0.95312439303555,0.399,0.377,1,"2","Hs3st1"
"Acadl.1",0.000140376010315329,0.741965903109469,0.451,0.439,1,"2","Acadl"
"D730003I15Rik.1",0.000140757093053497,1.15447236691132,0.29,0.233,1,"2","D730003I15Rik"
"Fars2",0.000141163890184408,-0.254833895778,0.147,0.277,1,"2","Fars2"
"Zfp644",0.000145913431112885,-0.290155083469291,0.225,0.391,1,"2","Zfp644"
"Cttnbp2nl",0.000146468302274581,1.34554757632727,0.253,0.195,1,"2","Cttnbp2nl"
"Sgce",0.000147091556729624,0.995804049459455,0.352,0.314,1,"2","Sgce"
"Ube2e2.2",0.000148649864070021,-0.254222965314749,0.406,0.615,1,"2","Ube2e2"
"Gucy1a1.2",0.000153028586106289,-0.259913621067458,0.218,0.374,1,"2","Gucy1a1"
"Fam107b.2",0.000155807079010568,-1.04100802808071,0.195,0.305,1,"2","Fam107b"
"Idh1.2",0.000156940179747369,0.859320262412337,0.42,0.401,1,"2","Idh1"
"Tdrd3",0.000157507210310387,-0.297287096749506,0.143,0.268,1,"2","Tdrd3"
"Unc50.1",0.000161510649035423,0.593906315726727,0.577,0.625,1,"2","Unc50"
"Setd1a",0.000164102041770091,-0.368103616183301,0.229,0.385,1,"2","Setd1a"
"Snx12",0.000164607643490779,-0.268936163646205,0.225,0.383,1,"2","Snx12"
"Micu2",0.000165662752453846,1.12075635191024,0.28,0.224,1,"2","Micu2"
"Plxdc2",0.000169779926182461,1.04190411149286,0.379,0.353,1,"2","Plxdc2"
"Txndc17",0.000170818544553629,0.49096832584026,0.618,0.701,1,"2","Txndc17"
"Crot",0.000174149737539861,-0.303994192035935,0.154,0.282,1,"2","Crot"
"Eif1ax",0.000174384630977223,-0.252930574378659,0.631,0.857,1,"2","Eif1ax"
"Hmox2",0.000176955105972504,0.503777822850722,0.635,0.736,1,"2","Hmox2"
"Pkib.2",0.000177128266712133,-0.405746794117031,0.167,0.293,1,"2","Pkib"
"Erbb4.1",0.000177192356183005,-0.26599707229544,0.15,0.28,1,"2","Erbb4"
"Cuedc1.1",0.000180419084291075,0.686560814637842,0.396,0.366,1,"2","Cuedc1"
"Fn1",0.000183745718478088,-0.622887075680167,0.266,0.427,1,"2","Fn1"
"Arhgef2.1",0.000189397431556751,0.682035298651206,0.512,0.537,1,"2","Arhgef2"
"Aldh6a1",0.000190422872362002,0.720912863569285,0.498,0.503,1,"2","Aldh6a1"
"Rab10",0.000192143333183412,0.37286616263841,0.734,0.811,1,"2","Rab10"
"Ric8b",0.000195301894214127,-0.288421230027327,0.205,0.358,1,"2","Ric8b"
"Zfp536.1",0.000195695533121338,1.09349992687595,0.321,0.272,1,"2","Zfp536"
"Rimkla.2",0.000197313363128289,-0.363639292814138,0.14,0.256,1,"2","Rimkla"
"Ak6",0.000198263845339145,-0.277688379140711,0.157,0.287,1,"2","Ak6"
"Pde6d",0.000201189096865194,0.630975790904436,0.577,0.622,1,"2","Pde6d"
"Stx4a",0.000202685131964533,0.589710543720002,0.573,0.606,1,"2","Stx4a"
"4933431E20Rik",0.000207931680943481,0.773803617454898,0.498,0.525,1,"2","4933431E20Rik"
"Rwdd2a.2",0.000208395222267702,-0.302500143470856,0.164,0.294,1,"2","Rwdd2a"
"Nolc1.1",0.000208979074367318,-0.260337321318613,0.27,0.45,1,"2","Nolc1"
"Id4.1",0.000211139310714016,-0.292436383077767,0.543,0.724,1,"2","Id4"
"Tunar.2",0.000211956212920576,-0.410214048939717,0.208,0.346,1,"2","Tunar"
"Psip1",0.000220057977857322,-0.259923948506008,0.553,0.787,1,"2","Psip1"
"Stard3nl",0.000224491842990323,0.605628277421743,0.546,0.582,1,"2","Stard3nl"
"Mycbp",0.000227386273235446,-0.288581698728834,0.154,0.278,1,"2","Mycbp"
"Ctla2a.1",0.000227726299756038,-0.377619741219263,0.191,0.326,1,"2","Ctla2a"
"Ptpn11.1",0.000228304093001731,0.496899757713363,0.645,0.726,1,"2","Ptpn11"
